title,views,likes,comments,duration,upload_date
Playlist to cry yourself to sleep | Mitski,189,3,1.0,1355,20260103
Lana Del Rey | Unreleased playlist,930,11,,1144,20260101
Playlist to bleed out to | Lil Peep Playlist,107,2,1.0,1179,20251230
Playlist to cry yourself to sleep pt.2 | Lana Del Rey,10170,46,2.0,1584,20251229
Playlist to cry yourself to sleep | Lana Del Rey,22630,97,3.0,1296,20251226
