title,views,likes,comments,duration,upload_date
The most popular audio in 2025✨️.(Part 1),23,5,2,315,20251127
Blackpink ROSÈ hit song playlist part 1✨️...,1225,6,1,989,20251006
Blackpink JISOO hit song✨️..,888,5,2,1053,20250922
Blackpink LISA hit song part 2✨️,5916,49,2,892,20250914
Blackpink LISA hit song part 1✨️,23109,254,9,654,20250907
Blackpink JENNIE hit song playlist PART 2 💃💫@jennierubyjane,44232,140,3,692,20250831
Blackpink JENNIE hit song playlist @jennierubyjane,12048,61,4,519,20250820
Trendy edit audios for your imaginary edits💫😉,2871,40,3,306,20250814
