title,views,likes,comments,duration,upload_date
Why You Don't Remember What You Read,72115,3396,147,441,20260203
One Habit to Instantly Improve Reading Comprehension,346281,14159,428,564,20260110
Why Audiobooks Feel Different From Reading,166922,7230,1300,519,20251207
How To Be A Better Reader,209462,9629,157,552,20251129
The Secret To Reading More Books,188714,8154,232,466,20251115
Why Paper Books Feel Different,165077,8204,854,359,20251108
The Searcher- A Masterclass in Slow Burn (Tana French),3500,304,20,343,20251101
Welcome To My Little Corner of BookTube,5159,850,87,246,20251101
